id	direction	compartment	gpr	name	enzyme	deltag	reference	equation	definition	ms id	bigg id	kegg id	kegg pathways	metacyc pathways
rxn01452_c0	=	Cytosol_0	((WP_013761782.1 or ASD46_RS13125) or (ASD46_RS13125 or WP_013761782.1))	(S)-3-Hydroxybutanoyl-CoA:NADP+ oxidoreductase_c0		3.76		(1)  cpd00006[c0] + (1)  cpd00842[c0] <=> (1)  cpd00005[c0] + (1)  cpd00067[c0] + (1)  cpd00279[c0]	(1)  NADP_c0[c0] + (1)  (S) -3-Hydroxybutyryl-CoA_c0[c0] <=> (1)  NADPH_c0[c0] + (1)  H+_c0[c0] + (1)  Acetoacetyl-CoA_c0[c0]	rxn01452		R01976	Benzoate degradation|Butanoate metabolism	
rxn00642_c0	>	Cytosol_0	(ASD46_RS22660 or WP_019566379.1)	GDP-mannose 4,6-hydro-lyase (GDP-4-dehydro-6-deoxy-D-mannose-forming)_c0	4.2.1.47	-13.9		(1)  cpd00083[c0] => (1)  cpd00001[c0] + (1)  cpd00900[c0]	(1)  GDP-mannose_c0[c0] => (1)  H2O_c0[c0] + (1)  GDP-4-dehydro-D-rhamnose_c0[c0]	rxn00642	GDPMD	R00888	Fructose and mannose metabolism|Amino sugar and nucleotide sugar metabolism	Biosynthesis|CARBO-BIOSYNTHESIS|COLANSYN-PWY|Carbohydrates-Biosynthesis|Cell-Structure-Biosynthesis|GDPRHAMSYN-PWY|Lipopolysaccharide-Biosynthesis|O-Antigen-Biosynthesis|Rhamnose-Biosynthesis|SUGAR-NUCLEOTIDES
rxn00022_c0	>	Cytosol_0	(ASD46_RS16985 or ASD46_RS11575 or WP_025592496.1 or WP_025594206.1 or ASD46_RS04375 or WP_013761548.1)	maltose glucohydrolase_c0		-3.11		(1)  cpd00001[c0] + (1)  cpd00179[c0] => (2)  cpd00027[c0]	(1)  H2O_c0[c0] + (1)  Maltose_c0[c0] => (2)  D-Glucose_c0[c0]	rxn00022		R00028	Starch and sucrose metabolism	
rxn00973_c0	=	Cytosol_0	(Unknown and Unknown and Unknown and Unknown and (ASD46_RS23575 or WP_003516634.1 or WP_060642839.1 or ASD46_RS15665))	citrate hydroxymutase_c0		1.42		(1)  cpd00137[c0] <=> (1)  cpd00260[c0]	(1)  Citrate_c0[c0] <=> (1)  Isocitrate_c0[c0]	rxn00973	ACONT	R01324		
rxn02000_c0	=	Cytosol_0	(ASD46_RS22710 or WP_060642733.1)	dTDP-4-dehydro-6-deoxy-D-glucose 3,5-epimerase_c0		0.0		(1)  cpd00521[c0] <=> (1)  cpd00522[c0]	(1)  dTDP-4-oxo-6-deoxy-D-glucose_c0[c0] <=> (1)  dTDP-4-oxo-L-rhamnose_c0[c0]	rxn02000	TDPDRE	R06514	Streptomycin biosynthesis|Polyketide sugar unit biosynthesis	
rxn03239_c0	=	Cytosol_0	((Unknown and (ASD46_RS04820 or WP_035197760.1)) or (WP_035197760.1 or ASD46_RS04820))	(S)-3-Hydroxyhexadecanoyl-CoA:NAD+ oxidoreductase_c0		3.76		(1)  cpd00003[c0] + (1)  cpd03113[c0] <=> (1)  cpd00004[c0] + (1)  cpd00067[c0] + (1)  cpd03114[c0]	(1)  NAD_c0[c0] + (1)  (S) -3-Hydroxyhexadecanoyl-CoA_c0[c0] <=> (1)  NADH_c0[c0] + (1)  H+_c0[c0] + (1)  3-Oxopalmitoyl-CoA_c0[c0]	rxn03239	HACD7	R04737	Fatty acid elongation|Fatty acid degradation	
rxn05457_c0	=	Cytosol_0	(ASD46_RS01950 or WP_025592965.1)	[Acyl-carrier-protein] acetyltransferase_c0		0.0		(1)  cpd00010[c0] + (1)  cpd11466[c0] <=> (1)  cpd01695[c0] + (1)  cpd11493[c0]	(1)  CoA_c0[c0] + (1)  Myristoyl-ACP_c0[c0] <=> (1)  Myristoyl-CoA_c0[c0] + (1)  ACP_c0[c0]	rxn05457	FAS1_6_c			
rxn00107_c0	=	Cytosol_0	(ASD46_RS01840 or WP_003502118.1 or ASD46_RS26095 or WP_060643041.1)	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase_c0		0.0		(1)  cpd00002[c0] + (1)  cpd07923[c0] <=> (1)  cpd00008[c0] + (1)  cpd07924[c0]	(1)  ATP_c0[c0] + (1)  2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate_c0[c0] <=> (1)  ADP_c0[c0] + (1)  2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate_c0[c0]	rxn00107		R00139	Pyrimidine metabolism	
rxn04271_c0	=	Cytosol_0	(ASD46_RS24560 or WP_003514078.1)	trans-2-Methyl-5-isopropylhexa-2,5-dienal dehydrogenase_c0		-9.8		(1)  cpd00001[c0] + (1)  cpd00003[c0] + (1)  cpd08739[c0] <=> (1)  cpd00004[c0] + (2)  cpd00067[c0] + (1)  cpd08740[c0]	(1)  H2O_c0[c0] + (1)  NAD_c0[c0] + (1)  trans-2-Methyl-5-isopropylhexa-2,5-dienal_c0[c0] <=> (1)  NADH_c0[c0] + (2)  H+_c0[c0] + (1)  trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid_c0[c0]	rxn04271		R06408	Limonene and pinene degradation	
rxn13783_c0	>	Cytosol_0	(Unknown and (WP_003515262.1 or ASD46_RS18735) and Unknown and Unknown and (ASD46_RS00725 or WP_025593271.1) and Unknown and Unknown and Unknown and Unknown and (ASD46_RS17595 or WP_003513370.1) and Unknown and Unknown and Unknown and Unknown and (ASD46_RS09895 or ASD46_RS08550 or ASD46_RS03180 or WP_060642158.1 or ASD46_RS08575 or WP_060642024.1 or WP_003511896.1 or WP_060642029.1 or WP_013761131.1 or ASD46_RS20920) and Unknown and Unknown and Unknown and Unknown and (WP_003516345.1 or ASD46_RS16465) and Unknown and (WP_025593447.1 or ASD46_RS18720) and Unknown)	DNA replication_c0				 => (1)  cpd17042[c0]	 => (1)  DNA replication_c0[c0]	rxn13783				
rxn10118_c0	>	Cytosol_0	(Unknown and Unknown and Unknown and Unknown and Unknown and (ASD46_RS25280 or WP_060642927.1) and Unknown and Unknown and Unknown and Unknown)	hydrogenase (ubiquinone-8: 2 protons) (periplasm)_c0		-25.91		(2)  cpd00067[c0] + (1)  cpd11640[c0] + (1)  cpd15560[c0] => (2)  cpd00067[e0] + (1)  cpd15561[c0]	(2)  H+_c0[c0] + (1)  H2_c0[c0] + (1)  Ubiquinone-8_c0[c0] => (2)  H+_e0[e0] + (1)  Ubiquinol-8_c0[c0]	rxn10118	HYD1			
rxn04070_c0	>	Cytosol_0	(WP_003513071.1 or ASD46_RS18290)	pyridoxine 5'-phosphate synthase_c0	2.6.99.2	-22.13		(1)  cpd08289[c0] + (1)  cpd08449[c0] => (2)  cpd00001[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd00478[c0]	(1)  1-deoxy-D-xylulose5-phosphate_c0[c0] + (1)  3-Amino-2-oxopropyl phosphate_c0[c0] => (2)  H2O_c0[c0] + (1)  Phosphate_c0[c0] + (1)  H+_c0[c0] + (1)  Pyridoxine phosphate_c0[c0]	rxn04070	PDX5PS2	R05838	Vitamin B6 metabolism	Biosynthesis|Cofactor-Biosynthesis|PWY0-845|PYRIDOXSYN-PWY|Vitamin-B6-Biosynthesis|Vitamin-Biosynthesis
rxn01358_c0	=	Cytosol_0	((ASD46_RS06425 or WP_003514406.1) or (WP_004431875.1 or ASD46_RS07255))	inosine:phosphate alpha-D-ribosyltransferase_c0		-7.95		(1)  cpd00009[c0] + (1)  cpd00246[c0] <=> (1)  cpd00226[c0] + (1)  cpd00475[c0]	(1)  Phosphate_c0[c0] + (1)  Inosine_c0[c0] <=> (1)  HYXN_c0[c0] + (1)  Ribose 1-phosphate_c0[c0]	rxn01358	PNP1_6	R01863	Purine metabolism	Adenine-Adenosine-Salvage|Adenosine-Nucleotides-Degradation|Biosynthesis|Degradation|NUCLEO-DEG|Nucleotide-Biosynthesis|PUR-NUC-SYN|PWY0-1296|Purine-Degradation|Purine-Nucleotides-Salvage|SALVADEHYPOX-PWY
rxn03433_c0	>	Cytosol_0	((WP_003511223.1 or ASD46_RS12715) or (WP_003511223.1 or ASD46_RS12715))	(S)-3-Hydroxyisobutyryl-CoA hydrolase_c0		-5.76		(1)  cpd00001[c0] + (1)  cpd03572[c0] => (1)  cpd00010[c0] + (1)  cpd00067[c0] + (1)  cpd00876[c0]	(1)  H2O_c0[c0] + (1)  (S) -3-Hydroxyisobutyryl-CoA_c0[c0] => (1)  CoA_c0[c0] + (1)  H+_c0[c0] + (1)  3-Hydroxyisobutyrate_c0[c0]	rxn03433	3HBCOAHL	R05064	Valine, leucine and isoleucine degradation	
rxn10231_c0	>	Cytosol_0	(ASD46_RS02115 or WP_003512304.1)	isohexadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase_c0		-15.04		(1)  cpd00054[c0] + (1)  cpd15688[c0] => (1)  cpd00046[c0] + (2)  cpd00067[c0] + (1)  cpd15694[c0]	(1)  L-Serine_c0[c0] + (1)  CDP-1,2-diisohexadecanoylglycerol_c0[c0] => (1)  CMP_c0[c0] + (2)  H+_c0[c0] + (1)  Diisohexadecanoylphosphatidylserine_c0[c0]	rxn10231				
rxn02944_c0	=	Cytosol_0	(ASD46_RS19480 or WP_025593606.1)	N2-succinyl-L-ornithine:2-oxoglutarate 5-aminotransferase_c0		-1.0		(1)  cpd00024[c0] + (1)  cpd02160[c0] <=> (1)  cpd00023[c0] + (1)  cpd03526[c0]	(1)  2-Oxoglutarate_c0[c0] + (1)  N2-Succinyl-L-ornithine_c0[c0] <=> (1)  L-Glutamate_c0[c0] + (1)  N-Succinyl-L-glutamate 5-semialdehyde_c0[c0]	rxn02944	SOTA	R04217	Arginine and proline metabolism	ARGININE-DEG|AST-PWY|Amino-Acid-Degradation|Degradation
rxn04648_c0	=	Cytosol_0	(WP_060641992.1 or ASD46_RS08345)	catechol:oxygen 1,2-oxidoreductase_c0		-93.05		(1)  cpd00007[c0] + (1)  cpd09310[c0] <=> (2)  cpd00067[c0] + (1)  cpd09312[c0]	(1)  O2_c0[c0] + (1)  3,4,6-Trichlorocatechol_c0[c0] <=> (2)  H+_c0[c0] + (1)  2,3,5-Trichloro-cis,cis-muconate_c0[c0]	rxn04648		R06833	Chlorocyclohexane and chlorobenzene degradation	AROMATIC-COMPOUNDS-DEGRADATION|CHLORINATED-COMPOUNDS-DEG|Chloroaromatic-Compounds-Degradation|Chlorocatechol-Degradation|Degradation
rxn03086_c0	=	Cytosol_0	(ASD46_RS04990 or WP_013635420.1)	R04467_c0		0.0		(1)  cpd00024[c0] + (1)  cpd02685[c0] <=> (1)  cpd00023[c0] + (1)  cpd03289[c0]	(1)  2-Oxoglutarate_c0[c0] + (1)  N-acetyl-LL-2,6-diaminopimelate_c0[c0] <=> (1)  L-Glutamate_c0[c0] + (1)  L-2-Acetamido-6-oxopimelate_c0[c0]	rxn03086	APTA1i	R04467	Lysine biosynthesis	Amino-Acid-Biosynthesis|Biosynthesis|IND-AMINO-ACID-SYN|LYSINE-SYN
rxn09240_c0	=	Cytosol_0	((ASD46_RS03295 or WP_003511863.1) and Unknown)	Sulfate adenyltransferase_c0		-3.78		(1)  cpd00001[c0] + (1)  cpd00002[c0] + (1)  cpd00038[c0] + (1)  cpd00048[c0] <=> (1)  cpd00009[c0] + (1)  cpd00012[c0] + (1)  cpd00031[c0] + (1)  cpd00067[c0] + (1)  cpd00193[c0]	(1)  H2O_c0[c0] + (1)  ATP_c0[c0] + (1)  GTP_c0[c0] + (1)  Sulfate_c0[c0] <=> (1)  Phosphate_c0[c0] + (1)  PPi_c0[c0] + (1)  GDP_c0[c0] + (1)  H+_c0[c0] + (1)  APS_c0[c0]	rxn09240	SADT2			
rxn01219_c0	=	Cytosol_0	(ASD46_RS07295 or WP_050923922.1)	ATP:dCMP phosphotransferase_c0		9.53		(1)  cpd00002[c0] + (1)  cpd00067[c0] + (1)  cpd00206[c0] <=> (1)  cpd00008[c0] + (1)  cpd00533[c0]	(1)  ATP_c0[c0] + (1)  H+_c0[c0] + (1)  dCMP_c0[c0] <=> (1)  ADP_c0[c0] + (1)  dCDP_c0[c0]	rxn01219	CYTK2	R01665	Pyrimidine metabolism	
rxn00519_c0	=	Cytosol_0	(WP_025592238.1 or ASD46_RS05545)	ITP:oxaloacetate carboxy-lyase (adding ITP; phosphoenolpyruvate-forming)_c0		-9.82		(1)  cpd00032[c0] + (1)  cpd00068[c0] <=> (1)  cpd00011[c0] + (1)  cpd00061[c0] + (1)  cpd00090[c0]	(1)  Oxaloacetate_c0[c0] + (1)  ITP_c0[c0] <=> (1)  CO2_c0[c0] + (1)  Phosphoenolpyruvate_c0[c0] + (1)  IDP_c0[c0]	rxn00519		R00726	Glycolysis / Gluconeogenesis|Citrate cycle (TCA cycle)|Pyruvate metabolism	
rxn00258_c0	=	Cytosol_0	(ASD46_RS00705 or WP_003512724.1)	Malonyl-CoA:pyruvate carboxytransferase_c0		0.0		(1)  cpd00020[c0] + (1)  cpd00070[c0] <=> (1)  cpd00022[c0] + (1)  cpd00032[c0]	(1)  Pyruvate_c0[c0] + (1)  Malonyl-CoA_c0[c0] <=> (1)  Acetyl-CoA_c0[c0] + (1)  Oxaloacetate_c0[c0]	rxn00258		R00353	Propanoate metabolism	
rxn00800_c0	=	Cytosol_0	((WP_025593893.1 or ASD46_RS09345) or (WP_025593893.1 or ASD46_RS09345))	N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming)_c0		7.34		(1)  cpd02375[c0] <=> (1)  cpd00018[c0] + (1)  cpd00106[c0]	(1)  Adenylosuccinate_c0[c0] <=> (1)  AMP_c0[c0] + (1)  Fumarate_c0[c0]	rxn00800	ADE13_2	R01083	Purine metabolism|Alanine, aspartate and glutamate metabolism	Biosynthesis|DENOVOPURINE2-PWY|Nucleotide-Biosynthesis|PRPP-PWY|PUR-NUC-SYN|Purine-Nucleotide-De-Novo-Biosynthesis
rxn00211_c0	=	Cytosol_0	(ASD46_RS07490 or WP_035252640.1)	UDP-glucose:NAD+ 6-oxidoreductase_c0		-4.58		(1)  cpd00001[c0] + (2)  cpd00003[c0] + (1)  cpd00026[c0] <=> (2)  cpd00004[c0] + (3)  cpd00067[c0] + (1)  cpd00144[c0]	(1)  H2O_c0[c0] + (2)  NAD_c0[c0] + (1)  UDP-glucose_c0[c0] <=> (2)  NADH_c0[c0] + (3)  H+_c0[c0] + (1)  UDPglucuronate_c0[c0]	rxn00211	UDPGD	R00286	Pentose and glucuronate interconversions|Ascorbate and aldarate metabolism|Starch and sucrose metabolism|Amino sugar and nucleotide sugar metabolism	Activation-Inactivation-Interconversion|Ascorbate-Biosynthesis|Biosynthesis|CARBO-BIOSYNTHESIS|COLANSYN-PWY|Carbohydrates-Biosynthesis|Carbohydrates-Degradation|Cell-Structure-Biosynthesis|Cofactor-Biosynthesis|Degradation|GALACTOSE-DEGRADATION|Interconversion|PWY3DJ-35471|SUGAR-NUCLEOTIDES|Sugars-And-Polysaccharides|Vitamin-Biosynthesis
rxn00179_c0	=	Cytosol_0	(WP_025594657.1 or ASD46_RS16135)	ATP:L-glutamate 5-phosphotransferase_c0		-6.9		(1)  cpd00002[c0] + (1)  cpd00023[c0] <=> (1)  cpd00008[c0] + (1)  cpd02097[c0]	(1)  ATP_c0[c0] + (1)  L-Glutamate_c0[c0] <=> (1)  ADP_c0[c0] + (1)  L-Glutamyl 5-phosphate_c0[c0]	rxn00179	GLU5K	R00239	Arginine and proline metabolism	Amino-Acid-Biosynthesis|Biosynthesis|CITRULBIO-PWY|Citrulline-Biosynthesis|IND-AMINO-ACID-SYN|Other-Amino-Acid-Biosynthesis|PROLINE-SYN|PROSYN-PWY
rxn02945_c0	>	Cytosol_0	(WP_025593499.1 or ASD46_RS18955)	prephytoene diphosphate:geranylgeranyl-diphosphate geranylgeranyltransferase_c0		-13.19		(1)  cpd02168[c0] => (1)  cpd00012[c0] + (1)  cpd00067[c0] + (1)  cpd03211[c0]	(1)  Prephytoene diphosphate_c0[c0] => (1)  PPi_c0[c0] + (1)  H+_c0[c0] + (1)  15-cis-Phytoene_c0[c0]	rxn02945		R04218	Carotenoid biosynthesis	Biosynthesis|CAROTENOID-PWY|CAROTENOID-SYN|Lycopene-Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS|TETRATERPENOID-SYN|Terpenoid-Biosynthesis
rxn01210_c0	>	Cytosol_0	((WP_025594734.1 or ASD46_RS16510) and Unknown)	10-Formyltetrahydrofolate:L-glutamate ligase (ADP-forming)_c0		-20.65		(1)  cpd00002[c0] + (1)  cpd00023[c0] + (1)  cpd00201[c0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd03524[c0]	(1)  ATP_c0[c0] + (1)  L-Glutamate_c0[c0] + (1)  10-Formyltetrahydrofolate_c0[c0] => (1)  ADP_c0[c0] + (1)  Phosphate_c0[c0] + (1)  H+_c0[c0] + (1)  10-Formyl-THF-L-glutamate_c0[c0]	rxn01210		R01654		
rxn00730_c0	=	Cytosol_0	(ASD46_RS05275 or WP_003514821.1)	Malonyl-CoA:anthranilate N-malonyltransferase_c0	2.3.1.113	-4.05		(1)  cpd00070[c0] + (1)  cpd00093[c0] <=> (1)  cpd00010[c0] + (1)  cpd02014[c0]	(1)  Malonyl-CoA_c0[c0] + (1)  Anthranilate_c0[c0] <=> (1)  CoA_c0[c0] + (1)  N-Malonylanthranilate_c0[c0]	rxn00730		R00989		
rxn01218_c0	>	Cytosol_0	(WP_025595375.1 or ASD46_RS14260)	2'-Deoxycytidine 5'-monophosphate phosphohydrolase_c0		7.21		(1)  cpd00001[c0] + (1)  cpd00206[c0] => (1)  cpd00009[c0] + (1)  cpd00654[c0]	(1)  H2O_c0[c0] + (1)  dCMP_c0[c0] => (1)  Phosphate_c0[c0] + (1)  Deoxycytidine_c0[c0]	rxn01218	NTD3	R01664	Pyrimidine metabolism	
