id	direction	compartment	gpr	name	enzyme	deltag	reference	equation	definition	ms id	bigg id	kegg id	kegg pathways	metacyc pathways
rxn02177_c0	>	Cytosol_0	(ASE33_RS09535 or ASE33_RS12185)	Isochorismate pyruvate-hydrolase_c0		-12.22		(1)  cpd00001[c0] + (1)  cpd00658[c0] => (1)  cpd00020[c0] + (1)  cpd02566[c0]	(1)  H2O_c0[c0] + (1)  Isochorismate_c0[c0] => (1)  Pyruvate_c0[c0] + (1)  2,3-Dihydroxy-2,3-dihydrobenzoate_c0[c0]	rxn02177		R03037	Biosynthesis of siderophore group nonribosomal peptides	ALL-CHORISMATE-PWY|AROMATIC-COMPOUNDS-BIOSYN|Biosynthesis|ENTBACSYN-PWY|Siderophores-Biosynthesis
rxn05250_c0	>	Cytosol_0	(ASE33_RS07070 or ASE33_RS27220 or ASE33_RS07630 or ASE33_RS12140 or ASE33_RS27215 or ASE33_RS18015 or ASE33_RS12375)	FACOAL160(ISO)_c0		-4.296		(1)  cpd00002[c0] + (1)  cpd00010[c0] + (1)  cpd11440[c0] => (1)  cpd00012[c0] + (1)  cpd00018[c0] + (1)  cpd11441[c0]	(1)  ATP_c0[c0] + (1)  CoA_c0[c0] + (1)  fa6_c0[c0] => (1)  PPi_c0[c0] + (1)  AMP_c0[c0] + (1)  fa6coa_c0[c0]	rxn05250				
rxn00646_c0	>	Cytosol_0	ASE33_RS00650	L-glutamate:L-cysteine gamma-ligase (ADP-forming)_c0		-6.35		(1)  cpd00002[c0] + (1)  cpd00023[c0] + (1)  cpd00084[c0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd00506[c0]	(1)  ATP_c0[c0] + (1)  L-Glutamate_c0[c0] + (1)  L-Cysteine_c0[c0] => (1)  ADP_c0[c0] + (1)  Phosphate_c0[c0] + (1)  H+_c0[c0] + (1)  gamma-Glutamylcysteine_c0[c0]	rxn00646	GLUCYS	R00894	Glutathione metabolism	Biosynthesis|Cofactor-Biosynthesis|GLUTATHIONESYN-PWY|Other-biosynthesis|Reductants
rxn00935_c0	=	Cytosol_0	(ASE33_RS21795 or ASE33_RS28145)	(S)-Malate:(acceptor) oxidoreductase_c0		-3.1		(1)  cpd00015[c0] + (1)  cpd00067[c0] + (1)  cpd00130[c0] <=> (1)  cpd00032[c0] + (1)  cpd00982[c0]	(1)  FAD_c0[c0] + (1)  H+_c0[c0] + (1)  L-Malate_c0[c0] <=> (1)  Oxaloacetate_c0[c0] + (1)  FADH2_c0[c0]	rxn00935		R01257	Pyruvate metabolism	
rxn01673_c0	=	Cytosol_0	ASE33_RS19530	ATP:dCDP phosphotransferase_c0		0.0		(1)  cpd00002[c0] + (1)  cpd00533[c0] <=> (1)  cpd00008[c0] + (1)  cpd00356[c0]	(1)  ATP_c0[c0] + (1)  dCDP_c0[c0] <=> (1)  ADP_c0[c0] + (1)  dCTP_c0[c0]	rxn01673	NDPK7	R02326	Pyrimidine metabolism	Biosynthesis|Nucleotide-Biosynthesis|PWY0-166|PYR-NUC-SYN|Pyrimid-Deoxyribonucleot-De-Novo-Biosyn
rxn00247_c0	>	Cytosol_0	ASE33_RS00705	ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)_c0	4.1.1.49	-9.82		(1)  cpd00002[c0] + (1)  cpd00032[c0] => (1)  cpd00008[c0] + (1)  cpd00011[c0] + (1)  cpd00061[c0]	(1)  ATP_c0[c0] + (1)  Oxaloacetate_c0[c0] => (1)  ADP_c0[c0] + (1)  CO2_c0[c0] + (1)  Phosphoenolpyruvate_c0[c0]	rxn00247	PCK1	R00341	Glycolysis / Gluconeogenesis|Citrate cycle (TCA cycle)|Pyruvate metabolism|Carbon fixation in photosynthetic organisms	Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|Energy-Metabolism|GLUCONEO-PWY|Gluconeogenesis
rxn05625_c0	=	Cytosol_0	ASE33_RS13470	nitrite transport in via proton symport, reversible_c0		0.0		(1)  cpd00067[e0] + (1)  cpd00075[e0] <=> (1)  cpd00067[c0] + (1)  cpd00075[c0]	(1)  H+_e0[e0] + (1)  Nitrite_e0[e0] <=> (1)  H+_c0[c0] + (1)  Nitrite_c0[c0]	rxn05625	NO2t2			
rxn02360_c0	=	Cytosol_0	ASE33_RS04800	trans-4-Hydroxy-L-proline 2-epimerase_c0	5.1.1.8	0.0		(1)  cpd00851[c0] <=> (1)  cpd02175[c0]	(1)  trans-4-Hydroxy-L-proline_c0[c0] <=> (1)  cis-4-Hydroxy-D-proline_c0[c0]	rxn02360		R03296	Arginine and proline metabolism	4-Hydroxyproline-Degradation|Amino-Acid-Degradation|Degradation
rxn02342_c0	=	Cytosol_0	ASE33_RS01665	R03270_c0		-2.81		(1)  cpd00213[c0] + (1)  cpd03049[c0] <=> (1)  cpd00056[c0] + (1)  cpd00836[c0]	(1)  Lipoamide_c0[c0] + (1)  2-Hydroxyethyl-ThPP_c0[c0] <=> (1)  TPP_c0[c0] + (1)  S-Acetyldihydrolipoamide_c0[c0]	rxn02342		R03270	Glycolysis / Gluconeogenesis|Citrate cycle (TCA cycle)|Pyruvate metabolism	
rxn10311_c0	=	Cytosol_0	ASE33_RS28375	anteisoheptadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted_c0		-40.8		(24)  cpd00037[c0] + (1)  cpd15750[c0] <=> (24)  cpd00014[c0] + (1)  cpd15768[c0]	(24)  UDP-N-acetylglucosamine_c0[c0] + (1)  Anteisoheptadecanoyllipoteichoic acid (n=24) , linked, unsubstituted_c0[c0] <=> (24)  UDP_c0[c0] + (1)  Anteisoheptadecanoyllipoteichoic acid (n=24) , linked, N-acetyl-D-glucosamine_c0[c0]	rxn10311				
rxn05156_c0	>	Cytosol_0	(ASE33_RS23755 or ASE33_RS16850)	ornithine transport via ABC system_c0		-6.82		(1)  cpd00001[c0] + (1)  cpd00002[c0] + (1)  cpd00064[e0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00064[c0] + (1)  cpd00067[c0]	(1)  H2O_c0[c0] + (1)  ATP_c0[c0] + (1)  Ornithine_e0[e0] => (1)  ADP_c0[c0] + (1)  Phosphate_c0[c0] + (1)  Ornithine_c0[c0] + (1)  H+_c0[c0]	rxn05156	ORNabc			
rxn01452_c0	=	Cytosol_0	ASE33_RS03125	(S)-3-Hydroxybutanoyl-CoA:NADP+ oxidoreductase_c0		3.76		(1)  cpd00006[c0] + (1)  cpd00842[c0] <=> (1)  cpd00005[c0] + (1)  cpd00067[c0] + (1)  cpd00279[c0]	(1)  NADP_c0[c0] + (1)  (S) -3-Hydroxybutyryl-CoA_c0[c0] <=> (1)  NADPH_c0[c0] + (1)  H+_c0[c0] + (1)  Acetoacetyl-CoA_c0[c0]	rxn01452		R01976	Benzoate degradation|Butanoate metabolism	
rxn00973_c0	=	Cytosol_0	(ASE33_RS07810 and Unknown and ASE33_RS27875 and ASE33_RS07810 and Unknown)	citrate hydroxymutase_c0		1.42		(1)  cpd00137[c0] <=> (1)  cpd00260[c0]	(1)  Citrate_c0[c0] <=> (1)  Isocitrate_c0[c0]	rxn00973	ACONT	R01324		
rxn05667_c0	=	Cytosol_0	ASE33_RS18245	TRANS-RXN4LZ-7041.ce_c0		0.0		(1)  cpd00073[e0] <=> (1)  cpd00073[c0]	(1)  Urea_e0[e0] <=> (1)  Urea_c0[c0]	rxn05667	UREAt			
rxn02000_c0	=	Cytosol_0	ASE33_RS00805	dTDP-4-dehydro-6-deoxy-D-glucose 3,5-epimerase_c0		0.0		(1)  cpd00521[c0] <=> (1)  cpd00522[c0]	(1)  dTDP-4-oxo-6-deoxy-D-glucose_c0[c0] <=> (1)  dTDP-4-oxo-L-rhamnose_c0[c0]	rxn02000	TDPDRE	R06514	Streptomycin biosynthesis|Polyketide sugar unit biosynthesis	
rxn03239_c0	=	Cytosol_0	((ASE33_RS13745 or ASE33_RS24285) and (ASE33_RS03125 or ASE33_RS27930 or ASE33_RS13745))	(S)-3-Hydroxyhexadecanoyl-CoA:NAD+ oxidoreductase_c0		3.76		(1)  cpd00003[c0] + (1)  cpd03113[c0] <=> (1)  cpd00004[c0] + (1)  cpd00067[c0] + (1)  cpd03114[c0]	(1)  NAD_c0[c0] + (1)  (S) -3-Hydroxyhexadecanoyl-CoA_c0[c0] <=> (1)  NADH_c0[c0] + (1)  H+_c0[c0] + (1)  3-Oxopalmitoyl-CoA_c0[c0]	rxn03239	HACD7	R04737	Fatty acid elongation|Fatty acid degradation	
rxn03534_c0	=	Cytosol_0	ASE33_RS07085	R05219_c0	2.1.1.152	31.74		(1)  cpd00001[c0] + (1)  cpd00017[c0] + (1)  cpd03839[c0] <=> (1)  cpd00019[c0] + (1)  cpd00029[c0] + (2)  cpd00067[c0] + (1)  cpd03761[c0]	(1)  H2O_c0[c0] + (1)  S-Adenosyl-L-methionine_c0[c0] + (1)  Precorrin 5_c0[c0] <=> (1)  S-Adenosyl-homocysteine_c0[c0] + (1)  Acetate_c0[c0] + (2)  H+_c0[c0] + (1)  Precorrin 6A_c0[c0]	rxn03534	PRE5	R05219	Porphyrin and chlorophyll metabolism	Adenosylcobalamin-Biosynthesis|Biosynthesis|Cobalamin-Biosynthesis|Cofactor-Biosynthesis|P381-PWY|Vitamin-Biosynthesis
rxn00322_c0	>	Cytosol_0	ASE33_RS07390	L-lysine carboxy-lyase (cadaverine-forming)_c0		-3.09		(1)  cpd00039[c0] + (1)  cpd00067[c0] => (1)  cpd00011[c0] + (1)  cpd01155[c0]	(1)  L-Lysine_c0[c0] + (1)  H+_c0[c0] => (1)  CO2_c0[c0] + (1)  Cadaverine_c0[c0]	rxn00322	LYSDC	R00462	Lysine degradation|Tropane, piperidine and pyridine alkaloid biosynthesis	ALKALOIDS-SYN|ARG+POLYAMINE-SYN|Amino-Acid-Degradation|Biosynthesis|Degradation|LYSINE-DEG|N-CONTAINING-SECONDARY-CMPD-SYN|POLYAMSYN-PWY|PWY0-1303|PWY0-461|Polyamine-Biosynthesis|QUINOLIZIDINE-ALKALOIDS|SECONDARY-METABOLITE-BIOSYNTHESIS|Siderophores-Biosynthesis
rxn00654_c0	>	Cytosol_0	(ASE33_RS15025 or ASE33_RS16690 or ASE33_RS27585)	N-Carbamoyl-beta-alanine amidohydrolase_c0		2.73		(1)  cpd00001[c0] + (2)  cpd00067[c0] + (1)  cpd01720[c0] => (1)  cpd00011[c0] + (1)  cpd00013[c0] + (1)  cpd00085[c0]	(1)  H2O_c0[c0] + (2)  H+_c0[c0] + (1)  3-Ureidopropanoate_c0[c0] => (1)  CO2_c0[c0] + (1)  NH3_c0[c0] + (1)  beta-Alanine_c0[c0]	rxn00654	UPPN	R00905	Pyrimidine metabolism|beta-Alanine metabolism|Pantothenate and CoA biosynthesis	Amino-Acid-Biosynthesis|Beta-Alanine-Biosynthesis|Biosynthesis|Degradation|IND-AMINO-ACID-SYN|NUCLEO-DEG|Pyrimidine-Degradation|Uracil-Degradation
rxn05063_c0	>	Cytosol_0	ASE33_RS27725	carbamate hydro-lyase_c0		-15.71		(1)  cpd00001[c0] + (1)  cpd01015[c0] => (1)  cpd01101[c0]	(1)  H2O_c0[c0] + (1)  Cyanate_c0[c0] => (1)  Carbamate_c0[c0]	rxn05063		R07315		
rxn05457_c0	=	Cytosol_0	(ASE33_RS23910 or ASE33_RS03455)	[Acyl-carrier-protein] acetyltransferase_c0		0.0		(1)  cpd00010[c0] + (1)  cpd11466[c0] <=> (1)  cpd01695[c0] + (1)  cpd11493[c0]	(1)  CoA_c0[c0] + (1)  Myristoyl-ACP_c0[c0] <=> (1)  Myristoyl-CoA_c0[c0] + (1)  ACP_c0[c0]	rxn05457	FAS1_6_c			
rxn13783_c0	>	Cytosol_0	((ASE33_RS26750 or ASE33_RS09545) and Unknown and ASE33_RS28670 and ASE33_RS28290 and ASE33_RS27025 and ASE33_RS24945 and ASE33_RS27030 and (ASE33_RS21115 or ASE33_RS27945 or ASE33_RS26740) and ASE33_RS01375 and ASE33_RS06330 and ASE33_RS24960 and Unknown and ASE33_RS01840 and ASE33_RS13365 and ASE33_RS13330 and ASE33_RS13375 and ASE33_RS01850 and Unknown and ASE33_RS23625 and ASE33_RS23945 and Unknown and ASE33_RS24955 and (ASE33_RS10265 or ASE33_RS25250))	DNA replication_c0				 => (1)  cpd17042[c0]	 => (1)  DNA replication_c0[c0]	rxn13783				
rxn10118_c0	>	Cytosol_0	(Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and ASE33_RS29015 and Unknown and Unknown and Unknown)	hydrogenase (ubiquinone-8: 2 protons) (periplasm)_c0		-25.91		(2)  cpd00067[c0] + (1)  cpd11640[c0] + (1)  cpd15560[c0] => (2)  cpd00067[e0] + (1)  cpd15561[c0]	(2)  H+_c0[c0] + (1)  H2_c0[c0] + (1)  Ubiquinone-8_c0[c0] => (2)  H+_e0[e0] + (1)  Ubiquinol-8_c0[c0]	rxn10118	HYD1			
rxn05392_c0	>	Cytosol_0	((ASE33_RS13175 or ASE33_RS12695) and (ASE33_RS23925 or ASE33_RS10370))	7-methyl-octanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0		2.156		(1)  cpd11492[c0] + (1)  cpd11528[c0] => (1)  cpd00011[c0] + (1)  cpd11493[c0] + (1)  cpd11529[c0]	(1)  Malonyl-acyl-carrierprotein-_c0[c0] + (1)  7-methyl-octanoyl-ACP_c0[c0] => (1)  CO2_c0[c0] + (1)  ACP_c0[c0] + (1)  9-methyl-3-oxo-decanoyl-ACP_c0[c0]	rxn05392				
rxn04070_c0	>	Cytosol_0	ASE33_RS22565	pyridoxine 5'-phosphate synthase_c0	2.6.99.2	-22.13		(1)  cpd08289[c0] + (1)  cpd08449[c0] => (2)  cpd00001[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd00478[c0]	(1)  1-deoxy-D-xylulose5-phosphate_c0[c0] + (1)  3-Amino-2-oxopropyl phosphate_c0[c0] => (2)  H2O_c0[c0] + (1)  Phosphate_c0[c0] + (1)  H+_c0[c0] + (1)  Pyridoxine phosphate_c0[c0]	rxn04070	PDX5PS2	R05838	Vitamin B6 metabolism	Biosynthesis|Cofactor-Biosynthesis|PWY0-845|PYRIDOXSYN-PWY|Vitamin-B6-Biosynthesis|Vitamin-Biosynthesis
rxn00199_c0	>	Cytosol_0	(ASE33_RS05505 or ASE33_RS05510)	oxalosuccinate carboxy-lyase (2-oxoglutarate-forming)_c0		-3.09		(1)  cpd00067[c0] + (1)  cpd03187[c0] => (1)  cpd00011[c0] + (1)  cpd00024[c0]	(1)  H+_c0[c0] + (1)  Oxalosuccinate_c0[c0] => (1)  CO2_c0[c0] + (1)  2-Oxoglutarate_c0[c0]	rxn00199	IDP2_2	R00268	Citrate cycle (TCA cycle)	
rxn01358_c0	=	Cytosol_0	ASE33_RS03940	inosine:phosphate alpha-D-ribosyltransferase_c0		-7.95		(1)  cpd00009[c0] + (1)  cpd00246[c0] <=> (1)  cpd00226[c0] + (1)  cpd00475[c0]	(1)  Phosphate_c0[c0] + (1)  Inosine_c0[c0] <=> (1)  HYXN_c0[c0] + (1)  Ribose 1-phosphate_c0[c0]	rxn01358	PNP1_6	R01863	Purine metabolism	Adenine-Adenosine-Salvage|Adenosine-Nucleotides-Degradation|Biosynthesis|Degradation|NUCLEO-DEG|Nucleotide-Biosynthesis|PUR-NUC-SYN|PWY0-1296|Purine-Degradation|Purine-Nucleotides-Salvage|SALVADEHYPOX-PWY
rxn03433_c0	>	Cytosol_0	ASE33_RS04245	(S)-3-Hydroxyisobutyryl-CoA hydrolase_c0		-5.76		(1)  cpd00001[c0] + (1)  cpd03572[c0] => (1)  cpd00010[c0] + (1)  cpd00067[c0] + (1)  cpd00876[c0]	(1)  H2O_c0[c0] + (1)  (S) -3-Hydroxyisobutyryl-CoA_c0[c0] => (1)  CoA_c0[c0] + (1)  H+_c0[c0] + (1)  3-Hydroxyisobutyrate_c0[c0]	rxn03433	3HBCOAHL	R05064	Valine, leucine and isoleucine degradation	
rxn10231_c0	>	Cytosol_0	(ASE33_RS10855 or ASE33_RS09015)	isohexadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase_c0		-15.04		(1)  cpd00054[c0] + (1)  cpd15688[c0] => (1)  cpd00046[c0] + (2)  cpd00067[c0] + (1)  cpd15694[c0]	(1)  L-Serine_c0[c0] + (1)  CDP-1,2-diisohexadecanoylglycerol_c0[c0] => (1)  CMP_c0[c0] + (2)  H+_c0[c0] + (1)  Diisohexadecanoylphosphatidylserine_c0[c0]	rxn10231				
rxn02944_c0	=	Cytosol_0	ASE33_RS16025	N2-succinyl-L-ornithine:2-oxoglutarate 5-aminotransferase_c0		-1.0		(1)  cpd00024[c0] + (1)  cpd02160[c0] <=> (1)  cpd00023[c0] + (1)  cpd03526[c0]	(1)  2-Oxoglutarate_c0[c0] + (1)  N2-Succinyl-L-ornithine_c0[c0] <=> (1)  L-Glutamate_c0[c0] + (1)  N-Succinyl-L-glutamate 5-semialdehyde_c0[c0]	rxn02944	SOTA	R04217	Arginine and proline metabolism	ARGININE-DEG|AST-PWY|Amino-Acid-Degradation|Degradation
rxn01867_c0	>	Cytosol_0	ASE33_RS03175	p-cumic alcohol:NAD+ oxidoreductase_c0		-9.8		(1)  cpd00001[c0] + (1)  cpd00003[c0] + (1)  cpd00447[c0] => (1)  cpd00004[c0] + (2)  cpd00067[c0] + (1)  cpd00540[c0]	(1)  H2O_c0[c0] + (1)  NAD_c0[c0] + (1)  Betaine aldehyde_c0[c0] => (1)  NADH_c0[c0] + (2)  H+_c0[c0] + (1)  BET_c0[c0]	rxn01867	BADH	R02565	Glycine, serine and threonine metabolism	AMINE-DEG|BETSYN-PWY|Betaine-Biosynthesis|Biosynthesis|CHOLINE-BETAINE-ANA-PWY|Choline-Degradation|Degradation|P542-PWY|PWY1F-353|Polyamine-Biosynthesis
rxn12637_c0	=	Cytosol_0	((ASE33_RS23545 or ASE33_RS08225) or ASE33_RS22525 or ASE33_RS10610 or ASE33_RS07565)	RXN0-6987.c_c0		-0.46		(1)  cpd00001[c0] + (1)  cpd11589[c0] <=> (1)  cpd00033[c0] + (1)  cpd00041[c0]	(1)  H2O_c0[c0] + (1)  gly-asp-L_c0[c0] <=> (1)  Glycine_c0[c0] + (1)  L-Aspartate_c0[c0]	rxn12637	AMPEP13			
rxn01385_c0	=	Cytosol_0	ASE33_RS14995	Xylitol:NAD+ 2-oxidoreductase (D-xylulose-forming)_c0	1.1.1.9	3.81		(1)  cpd00003[c0] + (1)  cpd00306[c0] <=> (1)  cpd00004[c0] + (1)  cpd00067[c0] + (1)  cpd00259[c0]	(1)  NAD_c0[c0] + (1)  Xylitol_c0[c0] <=> (1)  NADH_c0[c0] + (1)  H+_c0[c0] + (1)  D-Lyxulose_c0[c0]	rxn01385	XYLTD_D	R01896	Pentose and glucuronate interconversions	Carbohydrates-Degradation|Degradation|LARABITOLUTIL-PWY|SECONDARY-METABOLITE-DEGRADATION|SUGAR-ALCOHOLS-DEG|Sugar-Derivatives|Sugars-And-Polysaccharides
rxn09240_c0	=	Cytosol_0	(ASE33_RS09945 and ASE33_RS09950)	Sulfate adenyltransferase_c0		-3.78		(1)  cpd00001[c0] + (1)  cpd00002[c0] + (1)  cpd00038[c0] + (1)  cpd00048[c0] <=> (1)  cpd00009[c0] + (1)  cpd00012[c0] + (1)  cpd00031[c0] + (1)  cpd00067[c0] + (1)  cpd00193[c0]	(1)  H2O_c0[c0] + (1)  ATP_c0[c0] + (1)  GTP_c0[c0] + (1)  Sulfate_c0[c0] <=> (1)  Phosphate_c0[c0] + (1)  PPi_c0[c0] + (1)  GDP_c0[c0] + (1)  H+_c0[c0] + (1)  APS_c0[c0]	rxn09240	SADT2			
rxn01219_c0	=	Cytosol_0	ASE33_RS28315	ATP:dCMP phosphotransferase_c0		9.53		(1)  cpd00002[c0] + (1)  cpd00067[c0] + (1)  cpd00206[c0] <=> (1)  cpd00008[c0] + (1)  cpd00533[c0]	(1)  ATP_c0[c0] + (1)  H+_c0[c0] + (1)  dCMP_c0[c0] <=> (1)  ADP_c0[c0] + (1)  dCDP_c0[c0]	rxn01219	CYTK2	R01665	Pyrimidine metabolism	
rxn00800_c0	=	Cytosol_0	(ASE33_RS17195 or ASE33_RS05485)	N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming)_c0		7.34		(1)  cpd02375[c0] <=> (1)  cpd00018[c0] + (1)  cpd00106[c0]	(1)  Adenylosuccinate_c0[c0] <=> (1)  AMP_c0[c0] + (1)  Fumarate_c0[c0]	rxn00800	ADE13_2	R01083	Purine metabolism|Alanine, aspartate and glutamate metabolism	Biosynthesis|DENOVOPURINE2-PWY|Nucleotide-Biosynthesis|PRPP-PWY|PUR-NUC-SYN|Purine-Nucleotide-De-Novo-Biosynthesis
